hpi	temperature	virus	donor	replicate	titer
48	37	SARS-2	5	2	240
48	33	SARS-2	5	2	640
72	37	mock	5	1	1
72	33	mock	5	1	1
72	37	mock	5	2	1
72	33	mock	5	2	1
72	37	SARS	5	1	1
72	33	SARS	5	1	560
72	37	SARS	5	2	400
72	33	SARS	5	2	600
72	37	SARS-2	5	1	2400
72	33	SARS-2	5	1	32000
72	37	SARS-2	5	2	800
72	33	SARS-2	5	2	6400
96	37	mock	5	1	1
96	33	mock	5	1	1
96	37	mock	5	2	1
96	33	mock	5	2	1
96	37	SARS	5	1	1
96	33	SARS	5	1	800
96	37	SARS	5	2	3600
96	33	SARS	5	2	400
96	37	SARS-2	5	1	3600
96	33	SARS-2	5	1	104000
96	37	SARS-2	5	2	6400
96	33	SARS-2	5	2	68000
1	37	mock	6	1	1
1	33	mock	6	1	1
1	37	mock	6	2	1
1	33	mock	6	2	1
1	37	SARS	6	1	800
1	33	SARS	6	1	800
1	37	SARS	6	2	520
1	33	SARS	6	2	3200
1	37	SARS-2	6	1	1
1	33	SARS-2	6	1	400
1	37	SARS-2	6	2	1
1	33	SARS-2	6	2	80
24	37	mock	6	1	1
24	33	mock	6	1	1
24	37	mock	6	2	1
24	33	mock	6	2	1
24	37	SARS	6	1	120
24	33	SARS	6	1	80
24	37	SARS	6	2	80
24	33	SARS	6	2	320
24	37	SARS-2	6	1	1
24	33	SARS-2	6	1	200
24	37	SARS-2	6	2	1
24	33	SARS-2	6	2	1
48	37	mock	6	1	1
48	33	mock	6	1	1
48	37	mock	6	2	1
48	33	mock	6	2	1
48	37	SARS	6	1	720
48	33	SARS	6	1	320
48	37	SARS	6	2	680
48	33	SARS	6	2	3200
48	37	SARS-2	6	1	1
48	33	SARS-2	6	1	4000
48	37	SARS-2	6	2	1120
48	33	SARS-2	6	2	1000
72	37	mock	6	1	1
72	33	mock	6	1	1
72	37	mock	6	2	1
72	33	mock	6	2	1
72	37	SARS	6	1	6800
72	33	SARS	6	1	1600
72	37	SARS	6	2	14800
72	33	SARS	6	2	6800
72	37	SARS-2	6	1	1440
72	33	SARS-2	6	1	100000
72	37	SARS-2	6	2	16400
72	33	SARS-2	6	2	48000
96	37	mock	6	1	1
96	33	mock	6	1	1
96	37	mock	6	2	1
96	33	mock	6	2	1
96	37	SARS	6	1	64000
96	33	SARS	6	1	4800
96	37	SARS	6	2	64000
96	33	SARS	6	2	7200
96	37	SARS-2	6	1	10800
96	33	SARS-2	6	1	600000
96	37	SARS-2	6	2	20000
96	33	SARS-2	6	2	240000
1	37	mock	7	1	1
1	33	mock	7	1	1
1	37	mock	7	2	1
1	33	mock	7	2	1
1	37	SARS	7	1	360
1	33	SARS	7	1	200
1	37	SARS	7	2	520
1	33	SARS	7	2	560
1	37	SARS-2	7	1	80
1	33	SARS-2	7	1	80
1	37	SARS-2	7	2	160
1	33	SARS-2	7	2	120
24	37	mock	7	1	1
24	33	mock	7	1	1
24	37	mock	7	2	1
24	33	mock	7	2	1
24	37	SARS	7	1	120
24	33	SARS	7	1	160
24	37	SARS	7	2	80
24	33	SARS	7	2	1
24	37	SARS-2	7	1	1
24	33	SARS-2	7	1	40
24	37	SARS-2	7	2	1
24	33	SARS-2	7	2	1
48	37	mock	7	1	1
48	33	mock	7	1	1
48	37	mock	7	2	1
48	33	mock	7	2	1
48	37	SARS	7	1	800
48	33	SARS	7	1	1
48	37	SARS	7	2	400
48	33	SARS	7	2	640
48	37	SARS-2	7	1	1
48	33	SARS-2	7	1	760
48	37	SARS-2	7	2	560
48	33	SARS-2	7	2	1
72	37	mock	7	1	1
72	33	mock	7	1	1
72	37	mock	7	2	1
72	33	mock	7	2	1
72	37	SARS	7	1	4800
72	33	SARS	7	1	40
72	37	SARS	7	2	3600
72	33	SARS	7	2	3600
72	37	SARS-2	7	1	1
72	33	SARS-2	7	1	56000
72	37	SARS-2	7	2	20400
72	33	SARS-2	7	2	3200
96	37	mock	7	1	1
96	33	mock	7	1	1
96	37	mock	7	2	1
96	33	mock	7	2	1
96	37	SARS	7	1	32000
96	33	SARS	7	1	240
96	37	SARS	7	2	24000
96	33	SARS	7	2	44000
96	37	SARS-2	7	1	1
96	33	SARS-2	7	1	180000
96	37	SARS-2	7	2	40000
96	33	SARS-2	7	2	44000
