hpi	virus	temperature	donor	treatment	sample	replicate	titer
48	SARS	33	3	T1	Apical	1	1
48	SARS	33	3	T1	Apical	2	1
48	SARS	37	3	T1	Apical	1	1
48	SARS	37	3	T1	Apical	2	1
72	SARS2	33	3	T1	Apical	1	1600
72	SARS2	33	3	T1	Apical	2	1
72	SARS2	37	3	T1	Apical	1	1
72	SARS2	37	3	T1	Apical	2	1
72	SARS	33	3	T1	Apical	1	1
72	SARS	33	3	T1	Apical	2	40
72	SARS	37	3	T1	Apical	1	1
72	SARS	37	3	T1	Apical	2	1
1	SARS2	33	3	T3	Apical	1	80
1	SARS2	33	3	T3	Apical	2	80
1	SARS2	37	3	T3	Apical	1	40
1	SARS2	37	3	T3	Apical	2	40
1	SARS	33	3	T3	Apical	1	120
1	SARS	33	3	T3	Apical	2	360
1	SARS	37	3	T3	Apical	1	480
1	SARS	37	3	T3	Apical	2	80
24	SARS2	33	3	T3	Apical	1	1
24	SARS2	33	3	T3	Apical	2	1
24	SARS2	37	3	T3	Apical	1	1
24	SARS2	37	3	T3	Apical	2	1
24	SARS	33	3	T3	Apical	1	40
24	SARS	33	3	T3	Apical	2	40
24	SARS	37	3	T3	Apical	1	1
24	SARS	37	3	T3	Apical	2	1
0	SARS	37	3	T3	Apical	1	320000
0	SARS2	37	3	T3	Apical	1	40000
0	SARS	33	3	T3	Apical	1	320000
0	SARS2	33	3	T3	Apical	1	40000
48	SARS2	33	3	T3	Apical	1	1
48	SARS2	33	3	T3	Apical	2	1
48	SARS2	37	3	T3	Apical	1	1
48	SARS2	37	3	T3	Apical	2	1
48	SARS	33	3	T3	Apical	1	1
48	SARS	33	3	T3	Apical	2	1
48	SARS	37	3	T3	Apical	1	1
48	SARS	37	3	T3	Apical	2	1
72	SARS2	33	3	T3	Apical	1	1
72	SARS2	33	3	T3	Apical	2	1
72	SARS2	37	3	T3	Apical	1	1
72	SARS2	37	3	T3	Apical	2	1
72	SARS	33	3	T3	Apical	1	40
72	SARS	33	3	T3	Apical	2	1
72	SARS	37	3	T3	Apical	1	40
72	SARS	37	3	T3	Apical	2	1
1	SARS2	33	3	N	Apical	1	80
1	SARS2	33	3	N	Apical	2	400
1	SARS2	37	3	N	Apical	1	1
1	SARS2	37	3	N	Apical	2	80
1	SARS	33	3	N	Apical	1	160
1	SARS	33	3	N	Apical	2	400
1	SARS	37	3	N	Apical	1	160
1	SARS	37	3	N	Apical	2	1
24	SARS2	33	3	N	Apical	1	1
24	SARS2	33	3	N	Apical	2	120
24	SARS2	37	3	N	Apical	1	1
24	SARS2	37	3	N	Apical	2	1
24	SARS	33	3	N	Apical	1	1
24	SARS	33	3	N	Apical	2	120
24	SARS	37	3	N	Apical	1	80
24	SARS	37	3	N	Apical	2	160
0	SARS	37	3	N	Apical	1	320000
0	SARS2	37	3	N	Apical	1	40000
0	SARS	33	3	N	Apical	1	320000
0	SARS2	33	3	N	Apical	1	40000
48	SARS2	33	3	N	Apical	1	520
48	SARS2	33	3	N	Apical	2	1080
48	SARS2	37	3	N	Apical	1	360
48	SARS2	37	3	N	Apical	2	440
48	SARS	33	3	N	Apical	1	1200
48	SARS	33	3	N	Apical	2	800
48	SARS	37	3	N	Apical	1	40
48	SARS	37	3	N	Apical	2	120
72	SARS2	33	3	N	Apical	1	11200
72	SARS2	33	3	N	Apical	2	60000
72	SARS2	37	3	N	Apical	1	8000
72	SARS2	37	3	N	Apical	2	12000
72	SARS	33	3	N	Apical	1	2000
72	SARS	33	3	N	Apical	2	400
72	SARS	37	3	N	Apical	1	400
72	SARS	37	3	N	Apical	2	400
